TICKERSYMBOL,COMPANYID,SECURITYID,TRADINGITEMID
ARM,667281196,1853479663,1855493452
NXPI,934467,111541444,111574674
CMCSA,173341,2601562,2601563
PDD,572577901,574404976,574417220
PYPL,112732,292167444,306093931
CEG,3136719,61494746,61516139
PLTR,43580005,682491439,687999699
KDP,334622,569051476,573493558
TSLA,27444752,108803914,108803915
WBD,22666093,1776257809,1776948460
PANW,25460099,208663870,208663871
ADBE,24321,2587023,2587024
MNST,343729,2617596,2617597
MSFT,21835,2630412,2630413
MSTR,384976,2630448,2630449
MCHP,31500,2630454,2630455
MU,289030,2630497,2630498
NFLX,32012,2633240,2633241
PAYX,295368,2638037,2638038
BKNG,33254,2640331,2640332
QCOM,33493,2641395,2641396
REGN,33715,2642550,2642551
ROST,33926,2643724,2643725
TXN,140283,2657625,2657626
MRVL,31158,2666093,2666094
ODFL,319404,2635650,2635651
ON,411950,2635834,2635835
PCAR,294721,2637022,2637023
PEP,32854,2638535,2638536
SBUX,34745,2654391,2654392
CCEP,109130811,327261213,327261214
GOOGL,29096,11311638,11311662
ROP,22751,2643690,2643691
TTD,99942756,379478358,401943588
EA,27963,2608772,2608773
EXC,296181,2610550,2610551
FAST,270747,2611181,2611182
GILD,29002,2615241,2615242
IDXX,29729,2620077,2620078
INTC,21127,2621294,2621295
INTU,21171,2622315,2622316
ISRG,30239,2622325,2622326
KLAC,282225,2623438,2623439
MDLZ,739693,2624335,2624336
AXON,885779,2656700,2656701
APP,231651802,704119979,704119980
FTNT,2689126,79720571,79720572
AEP,135470,2588871,2588872
CHTR,19609,415067762,415067761
LRCX,30655,2625661,2625662
MAR,31148,2628644,2628645
GEHC,1804385326,1816998315,1816998317
GFS,237245858,1682846830,1682846833
DDOG,134521275,634751263,634751265
HON,1340740,2618949,2618950
FANG,170245760,206901218,206901219
KHC,278212,302129421,305755683
TEAM,253891410,316731096,316731098
META,20765463,126910336,126910337
BIIB,29726,7727372,7727529
SHOP,84159238,291512568,291512571
LULU,34125194,35918004,35950184
AZN,336774,2591300,2591301
MELI,34322384,36242581,36242761
XEL,527542,2665161,2665162
ASML,388904,2666608,2666609
BKR,425005479,433925519,433925520
CRWD,420347413,613769157,613769159
WDAY,23815047,222487219,222487220
DASH,243735719,696718844,696718845
LIN,318049,432497388,530272885
ABNB,115705393,695210861,695210863
VRSK,1027055,54414164,54414165
DXCM,114039,22036486,22036506
ZS,58838228,553215829,553393970
AMD,168864,2587302,2587303
AMZN,18749,2588567,2588568
AMGN,24816,2589768,2589769
ADI,251411,2589908,2589909
AAPL,24937,2590359,2590360
AMAT,251230,2590439,2590440
ADSK,119902,2591748,2591749
ADP,126269,2591802,2591803
CSX,257948,2596834,2596835
CDNS,25941,2597035,2597036
CSCO,19691,2600581,2600582
CTAS,260725,2600607,2600608
CTSH,386024,2601273,2601274
CPRT,27023,2603116,2603117
COST,92817,2603625,2603626
CSGP,387127,2603627,2603628
CDW,332700,241563565,241563566
AVGO,25016048,555183873,555183874
TMUS,93339,240207243,240207244
SNPS,35028,2655887,2655888
NVDA,32307,2635153,2635154
ORLY,324289,2636235,2636236
TRI,515275,2657891,2657892
TTWO,371281,2656510,2656511
VRTX,36235,2662296,2662297
