Ticker,Score,Weight (%),Reason
MNST,1.00,3,Z″=12.78 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=13.02 Safe; high EBIT/TA; modest D/E.
CPTR,1.00,3,Z″=13.14 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=6.45 Safe; strong EBIT/TA; modest D/E.
LRCX,1.00,3,Z″=9.16 Safe; strong EBIT/TA; high D/E.
AMAT,1.00,3,Z″=9.56 Safe; strong EBIT/TA; modest D/E.
CSGP,1.00,3,Z″=9.51 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=4.42 Safe; strong EBIT/TA; modest D/E.
CDNS,1.00,3,Z″=5.65 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=10.37 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.77 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=6.36 Safe; strong EBIT/TA; high D/E.
GOOGL,1.00,3,Z″=7.64 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,3,Z″=4.74 Safe; strong EBIT/TA; modest D/E.
ADBE,1.00,3,Z″=6.32 Safe; strong EBIT/TA; modest D/E.
MU,1.00,3,Z″=7.92 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=5.83 Safe; strong EBIT/TA; modest D/E.
AMD,1.00,3,Z″=5.31 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=6.23 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=6.84 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.66 Safe; strong EBIT/TA; high D/E.
ROST,1.00,3,Z″=3.98 Safe; strong EBIT/TA; high D/E.
PEP,1.00,3,Z″=3.41 Safe; strong EBIT/TA; high D/E.
PAYX,1.00,3,Z″=3.56 Safe; strong EBIT/TA; high D/E.
NFLX,1.00,3,Z″=2.92 Safe; strong EBIT/TA; high D/E.
BIIB,1.00,3,Z″=5.54 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=5.87 Safe; strong EBIT/TA; low D/E.
ODFL,1.00,3,Z″=8.35 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=4.51 Safe; strong EBIT/TA; high D/E.
ROP,1.00,3,Z″=3.68 Safe; strong EBIT/TA; modest D/E.
TSLA,1.00,3,Z″=3.78 Safe; strong EBIT/TA; modest D/E.
