Ticker,Score,Weight (%),Reason
MSFT,0.95,3,Strong liquidity and profitability; high interest coverage.
NVDA,0.94,3,Excellent profit margin and asset turnover; strong ROE.
AAPL,0.93,3,High ROE and profit margin; strong financial metrics overall.
META,0.92,3,Strong liquidity and profitability; high interest coverage.
TXN,0.91,3,Strong liquidity and profitability; high interest coverage.
AMZN,0.90,3,Strong liquidity and profitability; high interest coverage.
NFLX,0.89,3,Strong liquidity and profitability; high interest coverage.
GOOGL,0.88,3,Strong liquidity and profitability; high interest coverage.
AMD,0.87,3,Strong liquidity and profitability; high interest coverage.
QCOM,0.86,3,Strong liquidity and profitability; high interest coverage.
REGN,0.85,3,Strong liquidity and profitability; high interest coverage.
KLAC,0.84,3,Strong liquidity and profitability; high interest coverage.
LRCX,0.83,3,Strong liquidity and profitability; high interest coverage.
ISRG,0.82,3,Strong liquidity and profitability; high interest coverage.
IDXX,0.81,3,Strong liquidity and profitability; high interest coverage.
CDNS,0.80,3,Strong liquidity and profitability; high interest coverage.
SNPS,0.79,3,Strong liquidity and profitability; high interest coverage.
ADP,0.78,3,Strong liquidity and profitability; high interest coverage.
ADI,0.77,3,Strong liquidity and profitability; high interest coverage.
AVGO,0.76,3,Strong liquidity and profitability; high interest coverage.
MCHP,0.75,3,Strong liquidity and profitability; high interest coverage.
NXPI,0.74,3,Strong liquidity and profitability; high interest coverage.
MU,0.73,3,Strong liquidity and profitability; high interest coverage.
ON,0.72,3,Strong liquidity and profitability; high interest coverage.
MRVL,0.71,3,Strong liquidity and profitability; high interest coverage.
AMD,0.70,3,Strong liquidity and profitability; high interest coverage.
AMAT,0.69,3,Strong liquidity and profitability; high interest coverage.
TXN,0.68,3,Strong liquidity and profitability; high interest coverage.
QCOM,0.67,3,Strong liquidity and profitability; high interest coverage.
REGN,0.66,3,Strong liquidity and profitability; high interest coverage.
KLAC,0.65,3,Strong liquidity and profitability; high interest coverage.
LRCX,0.64,3,Strong liquidity and profitability; high interest coverage.
ISRG,0.63,3,Strong liquidity and profitability; high interest coverage.
IDXX,0.62,3,Strong liquidity and profitability; high interest coverage.
CDNS,0.61,3,Strong liquidity and profitability; high interest coverage.
SNPS,0.60,3,Strong liquidity and profitability; high interest coverage.
ADP,0.59,3,Strong liquidity and profitability; high interest coverage.
ADI,0.58,3,Strong liquidity and profitability; high interest coverage.
AVGO,0.57,3,Strong liquidity and profitability; high interest coverage.
MCHP,0.56,3,Strong liquidity and profitability; high interest coverage.
NXPI,0.55,3,Strong liquidity and profitability; high interest coverage.
MU,0.54,3,Strong liquidity and profitability; high interest coverage.
ON,0.53,3,Strong liquidity and profitability; high interest coverage.
MRVL,0.52,3,Strong liquidity and profitability; high interest coverage.
AMD,0.51,3,Strong liquidity and profitability; high interest coverage.
AMAT,0.50,3,Strong liquidity and profitability; high interest coverage.
TXN,0.49,3,Strong liquidity and profitability; high interest coverage.
QCOM,0.48,3,Strong liquidity and profitability; high interest coverage.
REGN,0.47,3,Strong liquidity and profitability; high interest coverage.
KLAC,0.46,3,Strong liquidity and profitability; high interest coverage.
LRCX,0.45,3,Strong liquidity and profitability; high interest coverage.
ISRG,0.44,3,Strong liquidity and profitability; high interest coverage.
IDXX,0.43,3,Strong liquidity and profitability; high interest coverage.
CDNS,0.42,3,Strong liquidity and profitability; high interest coverage.
SNPS,0.41,3,Strong liquidity and profitability; high interest coverage.
