Ticker,Score,Weight (%),Reason
PLTR,0.95,3,Strong liquidity and high working capital; low D/E.
REGN,0.92,3,Excellent liquidity and profitability; low D/E.
NVDA,0.91,3,High profitability and asset turnover; strong liquidity.
MSFT,0.89,3,Strong profitability and interest coverage; good liquidity.
META,0.88,3,High profitability and interest coverage; good liquidity.
TXN,0.87,3,Strong profitability and liquidity; good interest coverage.
ADBE,0.86,3,High profitability and interest coverage; good liquidity.
NFLX,0.85,3,Strong profitability and interest coverage; good liquidity.
AMZN,0.84,3,High profitability and asset turnover; good liquidity.
GOOGL,0.83,3,High profitability and interest coverage; good liquidity.
AMD,0.82,3,Strong profitability and asset turnover; good liquidity.
AAPL,0.81,3,High profitability and asset turnover; good liquidity.
ISRG,0.80,3,Strong profitability and liquidity; low D/E.
KLAC,0.79,3,High profitability and interest coverage; good liquidity.
LRCX,0.78,3,Strong profitability and liquidity; good interest coverage.
SNPS,0.77,3,High profitability and interest coverage; good liquidity.
CDNS,0.76,3,Strong profitability and liquidity; good interest coverage.
IDXX,0.75,3,High profitability and interest coverage; good liquidity.
DXCM,0.74,3,Strong profitability and liquidity; good interest coverage.
CPRT,0.73,3,High profitability and liquidity; low D/E.
ON,0.72,3,Strong profitability and liquidity; good interest coverage.
MU,0.71,3,High profitability and asset turnover; good liquidity.
NXPI,0.70,3,Strong profitability and liquidity; good interest coverage.
PANW,0.69,3,High profitability and interest coverage; good liquidity.
QCOM,0.68,3,Strong profitability and liquidity; good interest coverage.
ROST,0.67,3,High profitability and asset turnover; good liquidity.
ODFL,0.66,3,Strong profitability and liquidity; low D/E.
PCAR,0.65,3,High profitability and liquidity; low D/E.
FAST,0.64,3,Strong profitability and asset turnover; good liquidity.
PEP,0.63,3,High profitability and liquidity; good interest coverage.
MNST,0.62,3,Strong profitability and liquidity; low D/E.
PAYX,0.61,3,High profitability and interest coverage; good liquidity.
EA,0.60,3,Strong profitability and liquidity; good interest coverage.
CTAS,0.59,3,High profitability and asset turnover; good liquidity.
AVGO,0.58,3,Strong profitability and liquidity; good interest coverage.
ADP,0.57,3,High profitability and interest coverage; good liquidity.
ADI,0.56,3,Strong profitability and liquidity; good interest coverage.
AMAT,0.55,3,High profitability and asset turnover; good liquidity.
MELI,0.54,3,Strong profitability and liquidity; good interest coverage.
ABNB,0.53,3,High profitability and liquidity; good interest coverage.
LIN,0.52,3,Strong profitability and liquidity; good interest coverage.
HON,0.51,3,High profitability and liquidity; good interest coverage.
GEHC,0.50,3,Strong profitability and liquidity; good interest coverage.
BIIB,0.49,3,High profitability and liquidity; good interest coverage.
BKR,0.48,3,Strong profitability and liquidity; good interest coverage.
AXON,0.47,3,High profitability and liquidity; good interest coverage.
APP,0.46,3,Strong profitability and liquidity; good interest coverage.
AEP,0.45,3,High profitability and liquidity; good interest coverage.
ADP,0.44,3,Strong profitability and liquidity; good interest coverage.
ADI,0.43,3,High profitability and liquidity; good interest coverage.
AMAT,0.42,3,Strong profitability and liquidity; good interest coverage.
MELI,0.41,3,High profitability and liquidity; good interest coverage.
ABNB,0.40,3,Strong profitability and liquidity; good interest coverage.
LIN,0.39,3,High profitability and liquidity; good interest coverage.
HON,0.38,3,Strong profitability and liquidity; good interest coverage.
GEHC,0.37,3,High profitability and liquidity; good interest coverage.
BIIB,0.36,3,Strong profitability and liquidity; good interest coverage.
BKR,0.35,3,High profitability and liquidity; good interest coverage.
AXON,0.34,3,Strong profitability and liquidity; good interest coverage.
APP,0.33,3,High profitability and liquidity; good interest coverage.
AEP,0.32,3,Strong profitability and liquidity; good interest coverage.
ADP,0.31,3,High profitability and liquidity; good interest coverage.
ADI,0.30,3,Strong profitability and liquidity; good interest coverage.
AMAT,0.29,3,High profitability and liquidity; good interest coverage.
MELI,0.28,3,Strong profitability and liquidity; good interest coverage.
ABNB,0.27,3,High profitability and liquidity; good interest coverage.
LIN,0.26,3,Strong profitability and liquidity; good interest coverage.
HON,0.25,3,High profitability and liquidity; good interest coverage.
GEHC,0.24,3,Strong profitability and liquidity; good interest coverage.
BIIB,0.23,3,High profitability and liquidity; good interest coverage.
BKR,0.22,3,Strong profitability and liquidity; good interest coverage.
AXON,0.21,3,High profitability and liquidity; good interest coverage.
APP,0.20,3,Strong profitability and liquidity; good interest coverage.
AEP,0.19,3,High profitability and liquidity; good interest coverage.
ADP,0.18,3,Strong profitability and liquidity; good interest coverage.
ADI,0.17,3,High profitability and liquidity; good interest coverage.
AMAT,0.16,3,Strong profitability and liquidity; good interest coverage.
MELI,0.15,3,High profitability and liquidity; good interest coverage.
ABNB,0.14,3,Strong profitability and liquidity; good interest coverage.
LIN,0.13,3,High profitability and liquidity; good interest coverage.
HON,0.12,3,Strong profitability and liquidity; good interest coverage.
GEHC,0.11,3,High profitability and liquidity; good interest coverage.
BIIB,0.10,3,Strong profitability and liquidity; good interest coverage.
BKR,0.09,3,High profitability and liquidity; good interest coverage.
AXON,0.08,3,Strong profitability and liquidity; good interest coverage.
APP,0.07,3,High profitability and liquidity; good interest coverage.
AEP,0.06,3,Strong profitability and liquidity; good interest coverage.
ADP,0.05,3,High profitability and liquidity; good interest coverage.
ADI,0.04,3,Strong profitability and liquidity; good interest coverage.
AMAT,0.03,3,High profitability and liquidity; good interest coverage.
MELI,0.02,3,Strong profitability and liquidity; good interest coverage.
ABNB,0.01,3,High profitability and liquidity; good interest coverage.
