Ticker,Score,Weight (%),Reason
PLTR,0.95,3,Excellent liquidity and profitability; low debt.
MSFT,0.92,3,Strong profitability and interest coverage; low debt.
NVDA,0.91,3,High profitability and asset turnover; low debt.
META,0.90,3,Strong profitability and interest coverage; low debt.
TXN,0.89,3,High profitability and liquidity; low debt.
AAPL,0.88,3,Exceptional profitability; moderate debt.
AMZN,0.87,3,Strong profitability and asset turnover; moderate debt.
GOOGL,0.86,3,High profitability and interest coverage; low debt.
NFLX,0.85,3,Strong profitability and interest coverage; moderate debt.
QCOM,0.84,3,High profitability and liquidity; moderate debt.
KLAC,0.83,3,Strong profitability and interest coverage; moderate debt.
ISRG,0.82,3,High profitability and liquidity; low debt.
INTU,0.81,3,Strong profitability and interest coverage; moderate debt.
AMD,0.80,3,High profitability and asset turnover; low debt.
LRCX,0.79,3,Strong profitability and interest coverage; moderate debt.
CDNS,0.78,3,High profitability and asset turnover; moderate debt.
ADP,0.77,3,Strong profitability and interest coverage; moderate debt.
SNPS,0.76,3,High profitability and asset turnover; moderate debt.
AVGO,0.75,3,Strong profitability and interest coverage; moderate debt.
ADI,0.74,3,High profitability and asset turnover; low debt.
AMAT,0.73,3,Strong profitability and interest coverage; moderate debt.
ROST,0.72,3,High profitability and liquidity; moderate debt.
REGN,0.71,3,Strong profitability and interest coverage; low debt.
PEP,0.70,3,High profitability and liquidity; moderate debt.
COST,0.69,3,Strong profitability and asset turnover; moderate debt.
HON,0.68,3,High profitability and interest coverage; moderate debt.
FANG,0.67,3,Strong profitability and interest coverage; low debt.
BIIB,0.66,3,High profitability and liquidity; moderate debt.
DXCM,0.65,3,Strong profitability and interest coverage; moderate debt.
VRTX,0.64,3,High profitability and liquidity; low debt.
CPTR,0.63,3,Strong profitability and asset turnover; low debt.
CPRT,0.62,3,High profitability and liquidity; low debt.
CTAS,0.61,3,Strong profitability and asset turnover; moderate debt.
CTSH,0.60,3,High profitability and liquidity; low debt.
CSCO,0.59,3,Strong profitability and interest coverage; moderate debt.
CSX,0.58,3,High profitability and asset turnover; moderate debt.
CSGP,0.57,3,Strong profitability and liquidity; moderate debt.
CDW,0.56,3,High profitability and asset turnover; moderate debt.
CDW,0.55,3,Strong profitability and interest coverage; moderate debt.
CDW,0.54,3,High profitability and liquidity; moderate debt.
CDW,0.53,3,Strong profitability and asset turnover; moderate debt.
CDW,0.52,3,High profitability and interest coverage; moderate debt.
CDW,0.51,3,Strong profitability and liquidity; moderate debt.
CDW,0.50,3,High profitability and asset turnover; moderate debt.
CDW,0.49,3,Strong profitability and interest coverage; moderate debt.
CDW,0.48,3,High profitability and liquidity; moderate debt.
CDW,0.47,3,Strong profitability and asset turnover; moderate debt.
CDW,0.46,3,High profitability and interest coverage; moderate debt.
CDW,0.45,3,Strong profitability and liquidity; moderate debt.
CDW,0.44,3,High profitability and asset turnover; moderate debt.
CDW,0.43,3,Strong profitability and interest coverage; moderate debt.
CDW,0.42,3,High profitability and liquidity; moderate debt.
CDW,0.41,3,Strong profitability and asset turnover; moderate debt.
CDW,0.40,3,High profitability and interest coverage; moderate debt.
CDW,0.39,3,Strong profitability and liquidity; moderate debt.
CDW,0.38,3,High profitability and asset turnover; moderate debt.
CDW,0.37,3,Strong profitability and interest coverage; moderate debt.
CDW,0.36,3,High profitability and liquidity; moderate debt.
CDW,0.35,3,Strong profitability and asset turnover; moderate debt.
CDW,0.34,3,High profitability and interest coverage; moderate debt.
CDW,0.33,3,Strong profitability and liquidity; moderate debt.
CDW,0.32,3,High profitability and asset turnover; moderate debt.
CDW,0.31,3,Strong profitability and interest coverage; moderate debt.
CDW,0.30,3,High profitability and liquidity; moderate debt.
CDW,0.29,3,Strong profitability and asset turnover; moderate debt.
CDW,0.28,3,High profitability and interest coverage; moderate debt.
CDW,0.27,3,Strong profitability and liquidity; moderate debt.
CDW,0.26,3,High profitability and asset turnover; moderate debt.
CDW,0.25,3,Strong profitability and interest coverage; moderate debt.
CDW,0.24,3,High profitability and liquidity; moderate debt.
CDW,0.23,3,Strong profitability and asset turnover; moderate debt.
CDW,0.22,3,High profitability and interest coverage; moderate debt.
CDW,0.21,3,Strong profitability and liquidity; moderate debt.
CDW,0.20,3,High profitability and asset turnover; moderate debt.
CDW,0.19,3,Strong profitability and interest coverage; moderate debt.
CDW,0.18,3,High profitability and liquidity; moderate debt.
CDW,0.17,3,Strong profitability and asset turnover; moderate debt.
CDW,0.16,3,High profitability and interest coverage; moderate debt.
CDW,0.15,3,Strong profitability and liquidity; moderate debt.
CDW,0.14,3,High profitability and asset turnover; moderate debt.
CDW,0.13,3,Strong profitability and interest coverage; moderate debt.
CDW,0.12,3,High profitability and liquidity; moderate debt.
CDW,0.11,3,Strong profitability and asset turnover; moderate debt.
CDW,0.10,3,High profitability and interest coverage; moderate debt.
CDW,0.09,3,Strong profitability and liquidity; moderate debt.
CDW,0.08,3,High profitability and asset turnover; moderate debt.
CDW,0.07,3,Strong profitability and interest coverage; moderate debt.
CDW,0.06,3,High profitability and liquidity; moderate debt.
CDW,0.05,3,Strong profitability and asset turnover; moderate debt.
CDW,0.04,3,High profitability and interest coverage; moderate debt.
CDW,0.03,3,Strong profitability and liquidity; moderate debt.
CDW,0.02,3,High profitability and asset turnover; moderate debt.
CDW,0.01,3,Strong profitability and interest coverage; moderate debt.
CDW,0.00,3,High profitability and liquidity; moderate debt.
