Ticker,Score,Weight (%),Reason
MU,0.97,5,High EY & ROIC; no safety penalty.
LRCX,0.96,5,High EY & ROIC; no safety penalty.
ON,0.95,5,High EY & ROIC; no safety penalty.
PCAR,0.94,5,High EY & ROIC; no safety penalty.
AMAT,0.93,5,High EY & ROIC; no safety penalty.
META,0.92,5,High EY & ROIC; no safety penalty.
NXPI,0.91,5,High EY & ROIC; mild D/E penalty.
QCOM,0.90,5,High EY & ROIC; mild D/E penalty.
TXN,0.89,5,High EY & ROIC; no safety penalty.
KLAC,0.88,5,High EY & ROIC; mild D/E penalty.
REGN,0.87,5,High EY & ROIC; no safety penalty.
GILD,0.86,5,High EY & ROIC; mild D/E penalty.
CSCO,0.85,5,High EY & ROIC; no safety penalty.
MSFT,0.84,5,High EY & ROIC; no safety penalty.
AAPL,0.83,5,High EY & ROIC; mild D/E penalty.
FANG,0.82,5,High EY & ROIC; no safety penalty.
CDW,0.81,5,High EY & ROIC; mild D/E penalty.
AVGO,0.80,5,High EY & ROIC; mild D/E penalty.
ADI,0.79,5,High EY & ROIC; no safety penalty.
BIIB,0.78,5,High EY & ROIC; no safety penalty.
