Ticker,Score,Weight (%),Reason
FANG,1.00,5,Highest EY; strong ROIC.
PCAR,0.99,5,High EY & ROIC; no penalties.
CTSH,0.98,5,High EY & ROIC; no penalties.
ON,0.97,5,High EY & ROIC; no penalties.
CSX,0.96,5,High EY & ROIC; no penalties.
LRCX,0.95,5,High EY & ROIC; no penalties.
GILD,0.94,5,High EY & ROIC; no penalties.
KLAC,0.93,5,High EY & ROIC; no penalties.
NXPI,0.92,5,High EY & ROIC; mild D/E penalty.
BIIB,0.91,5,High EY & ROIC; no penalties.
TXN,0.90,5,High EY & ROIC; no penalties.
REGN,0.89,5,High EY & ROIC; no penalties.
CDW,0.88,5,High EY & ROIC; mild D/E penalty.
AVGO,0.87,5,High EY & ROIC; mild D/E penalty.
ORLY,0.86,5,High EY & ROIC; no penalties.
MCHP,0.85,5,High EY & ROIC; mild D/E penalty.
HON,0.84,5,High EY & ROIC; mild D/E penalty.
AMAT,0.83,5,High EY & ROIC; no penalties.
AMGN,0.82,5,High EY & ROIC; mild D/E penalty.
ADI,0.81,5,High EY & ROIC; no penalties.
