Ticker,Score,Weight (%),Reason
FANG,1.00,5,Highest EY & strong ROIC.
PCAR,0.99,5,High EY & solid ROIC.
GILD,0.98,5,High EY & excellent ROIC.
CTAS,0.97,5,High EY & good ROIC.
CSCO,0.96,5,High EY & strong ROIC.
MCHP,0.95,5,High EY & excellent ROIC.
NXPI,0.94,5,High EY & strong ROIC.
QCOM,0.93,5,High EY & solid ROIC.
ON,0.92,5,High EY & good ROIC.
KHC,0.91,5,High EY & strong ROIC.
CMCSA,0.90,5,High EY & solid ROIC.
CDW,0.89,5,High EY & good ROIC.
LRCX,0.88,5,High EY & strong ROIC.
KLAC,0.87,5,High EY & excellent ROIC.
TXN,0.86,5,High EY & solid ROIC.
HON,0.85,5,High EY & good ROIC.
ORLY,0.84,5,High EY & strong ROIC.
REGN,0.83,5,High EY & solid ROIC.
PAYX,0.82,5,High EY & good ROIC.
ROST,0.81,5,High EY & strong ROIC.
