Ticker,Score,Weight (%),Reason
PCAR,1.00,4,High EY & ROIC; no safety penalty.
FANG,0.99,4,High EY & ROIC; no safety penalty.
GILD,0.98,4,High EY & ROIC; no safety penalty.
CSCO,0.97,4,High EY & ROIC; no safety penalty.
CTAS,0.96,4,High EY & ROIC; no safety penalty.
NXPI,0.95,4,High EY & ROIC; mild D/E penalty.
MCHP,0.94,4,High EY & ROIC; mild D/E penalty.
PYPL,0.93,4,High EY & ROIC; mild D/E penalty.
CMCSA,0.92,4,High EY & ROIC; mild D/E penalty.
KHC,0.91,4,High EY & ROIC; mild D/E penalty.
QCOM,0.90,4,High EY & ROIC; mild D/E penalty.
TMUS,0.89,4,High EY & ROIC; mild D/E penalty.
TXN,0.88,4,High EY & ROIC; mild D/E penalty.
HON,0.87,4,High EY & ROIC; mild D/E penalty.
ORLY,0.86,4,High EY & ROIC; mild D/E penalty.
REGN,0.85,4,High EY & ROIC; mild D/E penalty.
LRCX,0.84,4,High EY & ROIC; mild D/E penalty.
AMAT,0.83,4,High EY & ROIC; mild D/E penalty.
ADI,0.82,4,High EY & ROIC; mild D/E penalty.
KLAC,0.81,4,High EY & ROIC; mild D/E penalty.
PEP,0.80,4,High EY & ROIC; mild D/E penalty.
MSFT,0.79,4,High EY & ROIC; mild D/E penalty.
AAPL,0.78,4,High EY & ROIC; mild D/E penalty.
META,0.77,4,High EY & ROIC; mild D/E penalty.
NVDA,0.76,4,High EY & ROIC; mild D/E penalty.
AMZN,0.75,4,High EY & ROIC; mild D/E penalty.
GOOGL,0.74,4,High EY & ROIC; mild D/E penalty.
VRTX,0.73,4,High EY & ROIC; mild D/E penalty.
SNPS,0.72,4,High EY & ROIC; mild D/E penalty.
CDW,0.71,4,High EY & ROIC; mild D/E penalty.
