Ticker,Score,Weight (%),Reason
FANG,1.00,4,High EY & ROIC; no safety penalty.
GILD,0.99,4,High EY & ROIC; mild D/E penalty.
ON,0.98,4,High EY & ROIC; no safety penalty.
PCAR,0.97,4,High EY & ROIC; no safety penalty.
CSCO,0.96,4,High EY & ROIC; mild D/E penalty.
KHC,0.95,4,High EY & ROIC; no safety penalty.
CMCSA,0.94,4,High EY & ROIC; mild D/E penalty.
TMUS,0.93,4,High EY & ROIC; mild D/E penalty.
BKR,0.92,4,High EY & ROIC; no safety penalty.
CTAS,0.91,4,High EY & ROIC; mild D/E penalty.
LULU,0.90,4,High EY & ROIC; no safety penalty.
NXPI,0.89,4,High EY & ROIC; mild D/E penalty.
QCOM,0.88,4,High EY & ROIC; mild D/E penalty.
TXN,0.87,4,High EY & ROIC; mild D/E penalty.
REGN,0.86,4,High EY & ROIC; no safety penalty.
ROST,0.85,4,High EY & ROIC; mild D/E penalty.
SBUX,0.84,4,High EY & ROIC; no safety penalty.
VRTX,0.83,4,High EY & ROIC; no safety penalty.
CDW,0.82,4,High EY & ROIC; mild D/E penalty.
HON,0.81,4,High EY & ROIC; mild D/E penalty.
LRCX,0.80,4,High EY & ROIC; mild D/E penalty.
MDLZ,0.79,4,High EY & ROIC; mild D/E penalty.
MNST,0.78,4,High EY & ROIC; no safety penalty.
PAYX,0.77,4,High EY & ROIC; mild D/E penalty.
PEP,0.76,4,High EY & ROIC; mild D/E penalty.
PYPL,0.75,4,High EY & ROIC; mild D/E penalty.
SBUX,0.74,4,High EY & ROIC; no safety penalty.
TSLA,0.73,4,High EY & ROIC; no safety penalty.
WBD,0.72,4,High EY & ROIC; mild D/E penalty.
XEL,0.71,4,High EY & ROIC; mild D/E penalty.
