Ticker,Score,Weight (%),Reason
GILD,1.00,4,High EY & ROIC; no safety penalty.
PCAR,0.99,4,High EY & ROIC; no safety penalty.
CMCSA,0.98,4,High EY & ROIC; mild D/E penalty.
KHC,0.97,4,High EY & ROIC; no safety penalty.
BIIB,0.96,4,High EY & ROIC; no safety penalty.
LULU,0.95,4,High EY & ROIC; no safety penalty.
NXPI,0.94,4,High EY & ROIC; mild D/E penalty.
QCOM,0.93,4,High EY & ROIC; no safety penalty.
PEP,0.92,4,High EY & ROIC; mild D/E penalty.
ON,0.91,4,High EY & ROIC; no safety penalty.
CSX,0.90,4,High EY & ROIC; mild D/E penalty.
FANG,0.89,4,High EY & ROIC; no safety penalty.
CDW,0.88,4,High EY & ROIC; mild D/E penalty.
TMUS,0.87,4,High EY & ROIC; mild D/E penalty.
TXN,0.86,4,High EY & ROIC; mild D/E penalty.
REGN,0.85,4,High EY & ROIC; no safety penalty.
ORLY,0.84,4,High EY & ROIC; no safety penalty.
HON,0.83,4,High EY & ROIC; mild D/E penalty.
AMAT,0.82,4,High EY & ROIC; no safety penalty.
LRCX,0.81,4,High EY & ROIC; mild D/E penalty.
MNST,0.80,4,High EY & ROIC; no safety penalty.
PAYX,0.79,4,High EY & ROIC; mild D/E penalty.
ROST,0.78,4,High EY & ROIC; mild D/E penalty.
ADP,0.77,4,High EY & ROIC; mild D/E penalty.
EXC,0.76,4,High EY & ROIC; mild D/E penalty.
FAST,0.75,4,High EY & ROIC; no safety penalty.
GEHC,0.74,4,High EY & ROIC; mild D/E penalty.
IDXX,0.73,4,High EY & ROIC; mild D/E penalty.
MELI,0.72,4,High EY & ROIC; mild D/E penalty.
VRTX,0.71,4,High EY & ROIC; no safety penalty.
