Ticker,Score,Weight (%),Reason
BIIB,1.00,4,Highest EY & ROIC; no penalties.
PCAR,0.99,4,High EY & ROIC; no penalties.
NXPI,0.98,4,High EY & ROIC; D/E penalty.
CMCSA,0.97,4,High EY & ROIC; D/E penalty.
PYPL,0.96,4,High EY & ROIC; D/E penalty.
KHC,0.95,4,High EY & ROIC; no penalties.
GILD,0.94,4,High EY & ROIC; D/E penalty.
BKR,0.93,4,High EY & ROIC; no penalties.
ON,0.92,4,High EY & ROIC; no penalties.
CDW,0.91,4,High EY & ROIC; D/E penalty.
GEHC,0.90,4,High EY & ROIC; D/E penalty.
MDLZ,0.89,4,High EY & ROIC; no penalties.
AMAT,0.88,4,High EY & ROIC; no penalties.
QCOM,0.87,4,High EY & ROIC; D/E penalty.
LRCX,0.86,4,High EY & ROIC; no penalties.
REGN,0.85,4,High EY & ROIC; no penalties.
KLAC,0.84,4,High EY & ROIC; D/E penalty.
LULU,0.83,4,High EY & ROIC; no penalties.
FANG,0.82,4,High EY & ROIC; no penalties.
TXN,0.81,4,High EY & ROIC; D/E penalty.
MU,0.80,4,High EY & ROIC; no penalties.
PAYX,0.79,4,High EY & ROIC; D/E penalty.
MNST,0.78,4,High EY & ROIC; no penalties.
CSX,0.77,4,High EY & ROIC; no penalties.
ADP,0.76,4,High EY & ROIC; D/E penalty.
HON,0.75,4,High EY & ROIC; D/E penalty.
TMUS,0.74,4,High EY & ROIC; D/E penalty.
ORLY,0.73,4,High EY & ROIC; no penalties.
AMD,0.72,4,High EY & ROIC; no penalties.
VRTX,0.71,4,High EY & ROIC; no penalties.
