Ticker,Score,Weight (%),Reason
REGN,0.8,6.4,"Consensus from 4 agents: BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
MU,0.6,5.1,"Consensus from 3 agents: BenjaminGraham, JoelGreenblatt, EdwardAltman"
NVDA,0.6,5.1,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
QCOM,0.6,5.1,"Consensus from 3 agents: BenjaminGraham, JoelGreenblatt, WarrenBuffett"
TXN,0.6,5.1,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
GOOGL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
GILD,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
FANG,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
META,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
CTAS,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
AAPL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
MSFT,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
LRCX,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, EdwardAltman"
AMGN,0.2,2.4,Consensus from 1 agents: JosephPiotroski
CTSH,0.2,2.4,Consensus from 1 agents: JosephPiotroski
ORLY,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
ADSK,0.2,2.4,Consensus from 1 agents: JosephPiotroski
BIIB,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
MNST,0.2,2.4,Consensus from 1 agents: EdwardAltman
MDLZ,0.2,2.4,Consensus from 1 agents: JosephPiotroski
ROST,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
AMAT,0.2,2.4,Consensus from 1 agents: BenjaminGraham
CDNS,0.2,2.4,Consensus from 1 agents: JosephPiotroski
MCHP,0.2,2.4,Consensus from 1 agents: JosephPiotroski
FAST,0.2,2.4,Consensus from 1 agents: EdwardAltman
AVGO,0.2,2.4,Consensus from 1 agents: JosephPiotroski
CMCSA,0.2,2.4,Consensus from 1 agents: WarrenBuffett
AMD,0.2,2.4,Consensus from 1 agents: BenjaminGraham
ABNB,0.2,2.4,Consensus from 1 agents: JosephPiotroski
CPRT,0.2,2.4,Consensus from 1 agents: EdwardAltman
VRTX,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
