Ticker,Score,Weight (%),Reason
FANG,0.89,5,F=8/9; strong ROA & leverage.
MCHP,0.89,5,F=8/9; strong ROA & margins.
MU,0.89,5,F=8/9; strong ROA & margins.
NXPI,0.89,5,F=8/9; strong ROA & margins.
AAPL,0.78,4,F=7/9; positive ROA & margins.
AVGO,0.78,4,F=7/9; positive ROA & margins.
CDNS,0.78,4,F=7/9; positive ROA & margins.
CHTR,0.78,4,F=7/9; positive ROA & margins.
CMCSA,0.78,4,F=7/9; positive ROA & margins.
CSCO,0.78,4,F=7/9; positive ROA & margins.
CSGP,0.78,4,F=7/9; positive ROA & margins.
CTSH,0.78,4,F=7/9; positive ROA & margins.
DDOG,0.78,4,F=7/9; positive ROA & margins.
EA,0.78,4,F=7/9; positive ROA & margins.
FAST,0.78,4,F=7/9; positive ROA & margins.
GILD,0.78,4,F=7/9; positive ROA & margins.
KDP,0.78,4,F=7/9; positive ROA & margins.
KLAC,0.78,4,F=7/9; positive ROA & margins.
LIN,0.78,4,F=7/9; positive ROA & margins.
MAR,0.78,4,F=7/9; positive ROA & margins.
MDLZ,0.78,4,F=7/9; positive ROA & margins.
ODFL,0.78,4,F=7/9; positive ROA & margins.
ON,0.78,4,F=7/9; positive ROA & margins.
PAYX,0.78,4,F=7/9; positive ROA & margins.
PLTR,0.78,4,F=7/9; positive ROA & margins.
SNPS,0.78,4,F=7/9; positive ROA & margins.
TSLA,0.78,4,F=7/9; positive ROA & margins.
VRTX,0.78,4,F=7/9; positive ROA & margins.
