Ticker,Score,Weight (%),Reason
EA,1.00,8,F=9/9; strong profitability and efficiency.
ADI,0.89,7,F=8/9; high gross margin improvement.
AVGO,0.89,7,F=8/9; strong profitability and efficiency.
GILD,0.89,7,F=8/9; strong profitability and efficiency.
MCHP,0.89,7,F=8/9; strong profitability and efficiency.
ROST,0.89,7,F=8/9; strong profitability and efficiency.
ADSK,0.78,6,F=7/9; strong profitability and efficiency.
CDW,0.78,6,F=7/9; strong profitability and efficiency.
COST,0.78,6,F=7/9; strong profitability and efficiency.
CTSH,0.78,6,F=7/9; strong profitability and efficiency.
FTNT,0.78,6,F=7/9; strong profitability and efficiency.
INTU,0.78,6,F=7/9; strong profitability and efficiency.
LULU,0.78,6,F=7/9; strong profitability and efficiency.
MELI,0.78,6,F=7/9; strong profitability and efficiency.
NXPI,0.78,6,F=7/9; strong profitability and efficiency.
ON,0.78,6,F=7/9; strong profitability and efficiency.
PAYX,0.78,6,F=7/9; strong profitability and efficiency.
PEP,0.78,6,F=7/9; strong profitability and efficiency.
PLTR,0.78,6,F=7/9; strong profitability and efficiency.
PYPL,0.78,6,F=7/9; strong profitability and efficiency.
TTD,0.78,6,F=7/9; strong profitability and efficiency.
XEL,0.78,6,F=7/9; strong profitability and efficiency.
