Ticker,Score,Weight (%),Reason
AAPL,1.00,10,F=9/9; strong profitability and efficiency.
FAST,1.00,10,F=9/9; robust financial health and operations.
MDLZ,1.00,10,F=9/9; excellent profitability and leverage.
ADBE,0.89,9,F=8/9; strong profitability and liquidity.
ADP,0.89,9,F=8/9; solid financial metrics across the board.
AMAT,0.89,9,F=8/9; strong profitability and leverage.
CRWD,0.89,9,F=8/9; excellent profitability and efficiency.
CTAS,0.89,9,F=8/9; strong operational efficiency.
EA,0.89,9,F=8/9; solid profitability and liquidity.
LULU,0.89,9,F=8/9; strong profitability and leverage.
MNST,0.89,9,F=8/9; excellent profitability and efficiency.
QCOM,0.89,9,F=8/9; strong profitability and leverage.
