Ticker,Score,Weight (%),Reason
NVDA,0.89,10,F=8/9; strong ROA & margin growth.
BKR,0.89,10,F=8/9; leverage reduction & no equity issuance.
FTNT,0.89,10,F=8/9; strong margin improvement.
PAYX,0.89,10,F=8/9; leverage reduction & liquidity improvement.
ADBE,0.78,8,F=7/9; positive ROA & margin growth.
ADP,0.78,8,F=7/9; positive ROA & liquidity improvement.
AMD,0.78,8,F=7/9; positive ROA & margin growth.
APP,0.78,8,F=7/9; strong turnover improvement.
CHTR,0.78,8,F=7/9; positive ROA & no equity issuance.
CMCSA,0.78,8,F=7/9; positive ROA & no equity issuance.
CSX,0.78,8,F=7/9; positive ROA & no equity issuance.
GOOGL,0.78,8,F=7/9; positive ROA & turnover improvement.
KDP,0.78,8,F=7/9; positive ROA & no equity issuance.
KLAC,0.78,8,F=7/9; positive ROA & turnover improvement.
LRCX,0.78,8,F=7/9; positive ROA & turnover improvement.
