Ticker,Score,Weight (%),Reason
CSCO,1.00,10,F=9/9; strong across all metrics.
ADI,0.89,9,F=8/9; high ROA and margin growth.
ADP,0.89,9,F=8/9; strong profitability and efficiency.
AMD,0.78,8,F=7/9; positive ROA and margin growth.
AVGO,0.78,8,F=7/9; strong profitability and efficiency.
CTAS,0.78,8,F=7/9; strong profitability and efficiency.
DASH,0.78,8,F=7/9; strong profitability and efficiency.
EA,0.78,8,F=7/9; strong profitability and efficiency.
FTNT,0.78,8,F=7/9; strong profitability and efficiency.
KLAC,0.78,8,F=7/9; strong profitability and efficiency.
LRCX,0.78,8,F=7/9; strong profitability and efficiency.
MNST,0.78,8,F=7/9; strong profitability and efficiency.
NFLX,0.78,8,F=7/9; strong profitability and efficiency.
PAYX,0.78,8,F=7/9; strong profitability and efficiency.
PYPL,0.78,8,F=7/9; strong profitability and efficiency.
QCOM,0.78,8,F=7/9; strong profitability and efficiency.
TMUS,0.78,8,F=7/9; strong profitability and efficiency.
TTD,0.78,8,F=7/9; strong profitability and efficiency.
