Ticker,Score,Weight (%),Reason
ADP,0.89,8,F=8/9; strong profitability and liquidity.
CTAS,0.89,8,F=8/9; strong profitability and no equity issuance.
MNST,0.89,8,F=8/9; strong profitability and efficiency.
QCOM,0.89,8,F=8/9; strong profitability and no equity issuance.
TXN,0.89,8,F=8/9; strong profitability and efficiency.
AAPL,0.78,7,F=7/9; positive ROA & margins.
ADBE,0.78,7,F=7/9; positive ROA & margins.
AMGN,0.78,7,F=7/9; positive ROA & margins.
CEG,0.78,7,F=7/9; positive ROA & margins.
ISRG,0.78,7,F=7/9; positive ROA & margins.
KLAC,0.78,7,F=7/9; positive ROA & margins.
NFLX,0.78,7,F=7/9; positive ROA & margins.
ORLY,0.78,7,F=7/9; positive ROA & margins.
PLTR,0.78,7,F=7/9; positive ROA & margins.
PYPL,0.78,7,F=7/9; positive ROA & margins.
TMUS,0.78,7,F=7/9; positive ROA & margins.
