Ticker,Score,Weight (%),Reason
MNST,1.00,3,Z″=13.62 Safe; strong EBIT/TA; low D/E.
CPRT,1.00,3,Z″=14.02 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=12.46 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=10.22 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.24 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=10.03 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.59 Safe; strong EBIT/TA; low D/E.
CSGP,1.00,3,Z″=9.55 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=9.65 Safe; strong EBIT/TA; low D/E.
ODFL,1.00,3,Z″=8.63 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.46 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.30 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=7.30 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=6.66 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.85 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=6.45 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=6.01 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=5.89 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=5.70 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=5.55 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=5.56 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=5.44 Safe; strong EBIT/TA; low D/E.
PCAR,1.00,3,Z″=5.65 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=4.60 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=4.49 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,3,Z″=4.67 Safe; strong EBIT/TA; low D/E.
EA,1.00,3,Z″=4.32 Safe; strong EBIT/TA; low D/E.
ADI,1.00,3,Z″=4.33 Safe; strong EBIT/TA; low D/E.
INTU,1.00,3,Z″=3.95 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,3,Z″=4.04 Safe; strong EBIT/TA; low D/E.
