Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=15.07 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=12.09 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=11.18 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.04 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.17 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.69 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=9.53 Safe; strong EBIT/TA; low D/E.
CSGP,1.00,3,Z″=9.51 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=9.50 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.60 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.26 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.71 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=6.99 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.12 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=6.20 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=6.27 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=5.87 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=5.38 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=5.33 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=4.63 Safe; strong EBIT/TA; low D/E.
INTU,1.00,3,Z″=4.67 Safe; strong EBIT/TA; low D/E.
AXON,1.00,3,Z″=4.68 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=4.81 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,3,Z″=4.71 Safe; strong EBIT/TA; low D/E.
EA,1.00,3,Z″=4.41 Safe; strong EBIT/TA; low D/E.
ADI,1.00,3,Z″=4.34 Safe; strong EBIT/TA; low D/E.
HON,1.00,3,Z″=4.39 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,3,Z″=4.54 Safe; strong EBIT/TA; low D/E.
AVGO,1.00,3,Z″=3.05 Safe; strong EBIT/TA; low D/E.
NFLX,1.00,3,Z″=3.25 Safe; strong EBIT/TA; low D/E.
