Ticker,Score,Weight (%),Reason
FANG,1.00,4,Highest EY; strong ROIC.
GILD,0.99,4,High EY & ROIC; mild D/E penalty.
PCAR,0.98,4,High EY & ROIC; no safety penalties.
CTAS,0.97,4,High ROIC; strong EY.
CDW,0.96,4,High ROIC; strong EY.
NXPI,0.95,4,High ROIC; strong EY.
PYPL,0.94,4,High EY; strong ROIC.
CMCSA,0.93,4,High EY; strong ROIC.
KHC,0.92,4,High EY; strong ROIC.
ON,0.91,4,High EY; strong ROIC.
CSCO,0.90,4,High EY; strong ROIC.
ROST,0.89,4,High EY; strong ROIC.
PAYX,0.88,4,High EY; strong ROIC.
PEP,0.87,4,High EY; strong ROIC.
LULU,0.86,4,High ROIC; strong EY.
MDLZ,0.85,4,High ROIC; strong EY.
TMUS,0.84,4,High EY; strong ROIC.
TXN,0.83,4,High EY; strong ROIC.
HON,0.82,4,High ROIC; strong EY.
ORLY,0.81,4,High EY; strong ROIC.
CDNS,0.80,4,High ROIC; strong EY.
KLAC,0.79,4,High ROIC; strong EY.
SNPS,0.78,4,High ROIC; strong EY.
REGN,0.77,4,High EY; strong ROIC.
ADP,0.76,4,High EY; strong ROIC.
AAPL,0.75,4,High ROIC; strong EY.
MSFT,0.74,4,High ROIC; strong EY.
META,0.73,4,High ROIC; strong EY.
NVDA,0.72,4,High ROIC; strong EY.
AMZN,0.71,4,High ROIC; strong EY.
