Ticker,Score,Weight (%),Reason
PCAR,0.99,4,High EY & ROIC; no safety penalties.
CMCSA,0.98,4,High EY & ROIC; mild D/E penalty.
GILD,0.97,4,High EY & ROIC; mild D/E penalty.
CTAS,0.96,4,High EY & ROIC; no safety penalties.
NXPI,0.95,4,High EY & ROIC; mild D/E penalty.
QCOM,0.94,4,High EY & ROIC; no safety penalties.
PEP,0.93,4,High EY & ROIC; mild D/E penalty.
BIIB,0.92,4,High EY & ROIC; no safety penalties.
LULU,0.91,4,High EY & ROIC; no safety penalties.
CDW,0.90,4,High EY & ROIC; mild D/E penalty.
ON,0.89,4,High EY & ROIC; no safety penalties.
ROST,0.88,4,High EY & ROIC; mild D/E penalty.
KHC,0.87,4,High EY & ROIC; no safety penalties.
FANG,0.86,4,High EY & ROIC; no safety penalties.
TMUS,0.85,4,High EY & ROIC; mild D/E penalty.
CSX,0.84,4,High EY & ROIC; mild D/E penalty.
HON,0.83,4,High EY & ROIC; mild D/E penalty.
TXN,0.82,4,High EY & ROIC; no safety penalties.
AMAT,0.81,4,High EY & ROIC; no safety penalties.
ORLY,0.80,4,High EY & ROIC; no safety penalties.
REGN,0.79,4,High EY & ROIC; no safety penalties.
KLAC,0.78,4,High EY & ROIC; mild D/E penalty.
LRCX,0.77,4,High EY & ROIC; mild D/E penalty.
MSFT,0.76,4,High EY & ROIC; no safety penalties.
NVDA,0.75,4,High EY & ROIC; no safety penalties.
META,0.74,4,High EY & ROIC; no safety penalties.
AAPL,0.73,4,High EY & ROIC; mild D/E penalty.
AMZN,0.72,4,High EY & ROIC; no safety penalties.
GOOGL,0.71,4,High EY & ROIC; no safety penalties.
ADI,0.70,4,High EY & ROIC; no safety penalties.
