Ticker,Score,Weight (%),Reason
AAPL,1.00,11,F=9/9; strong profitability and efficiency.
FAST,1.00,11,F=9/9; excellent financial health.
MDLZ,1.00,11,F=9/9; robust across all signals.
ADBE,0.89,10,F=8/9; strong profitability and leverage.
ADP,0.89,10,F=8/9; solid financial metrics.
AMAT,0.89,10,F=8/9; good profitability and liquidity.
CRWD,0.89,10,F=8/9; strong growth and efficiency.
CTAS,0.89,10,F=8/9; excellent operational efficiency.
EA,0.89,10,F=8/9; strong profitability and liquidity.
LULU,0.89,10,F=8/9; robust profitability and growth.
MNST,0.89,10,F=8/9; strong financial health.
QCOM,0.89,10,F=8/9; solid profitability and leverage.
